icd_code,attention_mean,attention_std
V1251,4.5437813e-05,0.00028500307
5119,4.5303776e-05,0.00029918
D689,4.5298988e-05,0.0002930667
V1046,4.525083e-05,0.00042966873
J440,4.4822777e-05,0.00045535824
U071,4.469777e-05,0.00033617378
E1121,4.438373e-05,0.00036437254
V707,4.418199e-05,0.00026028877
2753,4.4107226e-05,0.0003631321
K766,4.3995173e-05,0.00031915912
00845,4.3869368e-05,0.0003151627
R29810,4.3142045e-05,0.00026883153
Y832,4.2952106e-05,0.00030919348
4254,4.23889e-05,0.00033110258
Z931,4.2289328e-05,0.0004891248
28860,4.219213e-05,0.0002803033
03842,4.216904e-05,0.0005256823
I255,4.192191e-05,0.0002588976
E8788,4.1850217e-05,0.00030025613
79902,4.164632e-05,0.00027036807
B965,4.145925e-05,0.00042513903
E10319,4.137688e-05,0.00039574094
I739,4.0675463e-05,0.00033781995
G935,4.0670744e-05,0.00044612188
2930,4.058134e-05,0.00027255772
J9622,4.0205465e-05,0.00037525146
E1110,4.010251e-05,0.00030953242
5180,3.997744e-05,0.00026840507
28529,3.995898e-05,0.0003102974
3485,3.9770563e-05,0.00035026556
Y92238,3.9764545e-05,0.00038116242
F0390,3.966509e-05,0.00034022736
70715,3.9583698e-05,0.00033577546
27652,3.928208e-05,0.000269423
I2699,3.8718044e-05,0.0003425364
2763,3.8555667e-05,0.00033372748
I471,3.8342987e-05,0.00026296786
I447,3.813352e-05,0.00034475437
5712,3.797001e-05,0.00037854988
V4365,3.7890353e-05,0.0002876859
V4502,3.788535e-05,0.0003570302
Z86711,3.7727266e-05,0.00028975896
6826,3.7438876e-05,0.00037107884
34830,3.736029e-05,0.00029854817
E1022,3.7236216e-05,0.0003411629
R578,3.6916e-05,0.0002364525
V4501,3.662252e-05,0.0002603526
Z993,3.6469617e-05,0.00038490383
3659,3.6320813e-05,0.00030483495
B9689,3.588486e-05,0.00033912444
B952,3.5863763e-05,0.00031600962
70703,3.5821173e-05,0.00027171406
25080,3.5690882e-05,0.00025472685
25050,3.554309e-05,0.00027927855
42732,3.5113662e-05,0.00024454703
7850,3.4986344e-05,0.0003895905
04104,3.4908953e-05,0.00035457974
44020,3.4824334e-05,0.0003224763
V1581,3.4252505e-05,0.00023789934
Y92009,3.4169825e-05,0.00023576691
5722,3.410885e-05,0.00037285997
R001,3.404856e-05,0.0002442728
E8859,3.395996e-05,0.0003972659
5601,3.3942175e-05,0.00036103788
E8781,3.3881417e-05,0.000266369
99681,3.3656393e-05,0.0003730643
B9561,3.3654866e-05,0.00039817387
25012,3.3467462e-05,0.00033112036
27651,3.3442193e-05,0.00028127976
E7800,3.3249395e-05,0.0002571239
J9621,3.3088756e-05,0.00023748423
R740,3.2973865e-05,0.00022131004
5363,3.2910608e-05,0.00026199708
E8351,3.285625e-05,0.00031103045
73300,3.275462e-05,0.00024861895
R410,3.2614826e-05,0.00026085688
Z95810,3.2447486e-05,0.00035295295
4148,3.214081e-05,0.00024410733
Z6841,3.2022934e-05,0.00028558003
I951,3.1636027e-05,0.00030784274
R4701,3.1267366e-05,0.00022433212
M549,3.1230054e-05,0.0002667485
Z950,3.1118634e-05,0.00028147167
5854,3.1021314e-05,0.00025131615
Z681,3.0983356e-05,0.00026080012
Y92234,3.0803534e-05,0.0002959369
F319,3.0791907e-05,0.0002819403
I442,3.0744923e-05,0.00024797555
99591,3.0648185e-05,0.00023328765
41189,3.0447656e-05,0.0003168891
K921,3.0343934e-05,0.00026282313
E8889,3.0322442e-05,0.00034261882
4139,3.013105e-05,0.00028602334
58381,3.0053952e-05,0.00021409955
N401,2.9938337e-05,0.000273237
V1588,2.9693214e-05,0.00033235014
43310,2.9351153e-05,0.0002576118
25063,2.9248196e-05,0.00029071097
T45515A,2.8878118e-05,0.00023602814
R338,2.8735294e-05,0.0002639445
43889,2.8600498e-05,0.00024775128
V4975,2.8518321e-05,0.00029907227
V462,2.8424438e-05,0.0002159708
99731,2.8421906e-05,0.0002455405
I495,2.8238164e-05,0.00030704937
E1152,2.8178638e-05,0.00028629214
E8770,2.8175582e-05,0.00020956295
5770,2.8012739e-05,0.0003199241
E1065,2.79458e-05,0.00024915923
K567,2.7933715e-05,0.00025712955
L89152,2.7776756e-05,0.0003007301
R509,2.742862e-05,0.0002880104
3004,2.7386737e-05,0.0002732383
E874,2.7371778e-05,0.00023644113
K7469,2.732831e-05,0.00026668527
4142,2.7317496e-05,0.00030101775
78039,2.7173157e-05,0.0002705399
25062,2.7163644e-05,0.00024640042
K3184,2.6952608e-05,0.0002542817
51884,2.6510883e-05,0.0002446315
